Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,UniqueCarrier,AirlineID,Carrier,TailNum,FlightNum,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,Origin,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,Dest,DestCityName,DestState,DestStateFips,DestStateName,DestWac,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Flights,Distance,DistanceGroup
2008,1,1,31,4,1/30/04,YV,20378,YV,N915FJ,2872,13476,1347601,34922,MRY,"Monterey, CA",CA,6,California,91,14107,1410701,30466,PHX,"Phoenix, AZ",AZ,4,Arizona,81,1240,1230,-10,0,0,-1,1200-1259,8,1238,1502,13,1525,1515,-10,0,0,-1,1500-1559,0,,0,105,105,84,1,598,3
2008,1,1,31,4,1/30/04,YV,20378,YV,N77286,2903,13476,1347601,34922,MRY,"Monterey, CA",CA,6,California,91,14107,1410701,30466,PHX,"Phoenix, AZ",AZ,4,Arizona,81,615,610,-5,0,0,-1,0600-0659,7,617,836,13,905,849,-16,0,0,-2,0900-0959,0,,0,110,99,79,1,598,3
2008,1,1,31,4,1/30/04,YV,20378,YV,N505MJ,7318,13485,1348501,33485,MSN,"Madison, WI",WI,55,Wisconsin,45,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,1520,1528,8,8,0,0,1500-1559,19,1547,1643,8,1650,1651,1,1,0,0,1600-1659,0,,0,150,143,116,1,826,4
2008,1,1,31,4,1/30/04,YV,20378,YV,N502MJ,7320,13485,1348501,33485,MSN,"Madison, WI",WI,55,Wisconsin,45,13930,1393001,30977,ORD,"Chicago, IL",IL,17,Illinois,41,635,634,-1,0,0,-1,0600-0659,16,650,722,5,729,727,-2,0,0,-1,0700-0759,0,,0,54,53,32,1,109,1
2008,1,1,31,4,1/30/04,YV,20378,YV,N436YV,7089,13502,1350201,33502,MTJ,"Montrose/Delta, CO",CO,8,Colorado,82,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,1001,951,-10,0,0,-1,1000-1059,14,1005,1102,6,1113,1108,-5,0,0,-1,1100-1159,0,,0,72,77,57,1,197,1
2008,1,1,31,4,1/30/04,YV,20378,YV,N448YV,7096,13502,1350201,33502,MTJ,"Montrose/Delta, CO",CO,8,Colorado,82,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,1628,1616,-12,0,0,-1,1600-1659,10,1626,1717,8,1740,1725,-15,0,0,-1,1700-1759,0,,0,72,69,51,1,197,1
2008,1,1,31,4,1/30/04,YV,20378,YV,N444YV,7104,13502,1350201,33502,MTJ,"Montrose/Delta, CO",CO,8,Colorado,82,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,700,659,-1,0,0,-1,0700-0759,22,721,817,8,829,825,-4,0,0,-1,0800-0859,0,,0,89,86,56,1,197,1
2008,1,1,31,4,1/30/04,YV,20378,YV,N455YV,7161,13502,1350201,33502,MTJ,"Montrose/Delta, CO",CO,8,Colorado,82,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,1323,1308,-15,0,0,-1,1300-1359,10,1318,1408,9,1435,1417,-18,0,0,-2,1400-1459,0,,0,72,69,50,1,197,1
2008,1,1,31,4,1/30/04,YV,20378,YV,N434YV,7180,13502,1350201,33502,MTJ,"Montrose/Delta, CO",CO,8,Colorado,82,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,1156,1154,-2,0,0,-1,1100-1159,6,1200,1252,5,1308,1257,-11,0,0,-1,1300-1359,0,,0,72,63,52,1,197,1
2008,1,1,31,4,1/30/04,YV,20378,YV,N920FJ,2691,13577,1357701,31135,MYR,"Myrtle Beach, SC",SC,45,South Carolina,37,11057,1105702,31057,CLT,"Charlotte, NC",NC,37,North Carolina,36,600,550,-10,0,0,-1,0600-0659,27,617,700,5,700,705,5,5,0,0,0700-0759,0,,0,60,75,43,1,156,1
2008,1,1,31,4,1/30/04,YV,20378,YV,N75995,7125,13577,1357701,31135,MYR,"Myrtle Beach, SC",SC,45,South Carolina,37,12264,1226401,30852,IAD,"Washington, DC",VA,51,Virginia,38,1437,1452,15,15,1,1,1400-1459,14,1506,1609,6,1558,1615,17,17,1,1,1500-1559,0,,0,81,83,63,1,372,2
2008,1,1,31,4,1/30/04,YV,20378,YV,N918FJ,2833,13796,1379601,32457,OAK,"Oakland, CA",CA,6,California,91,14107,1410701,30466,PHX,"Phoenix, AZ",AZ,4,Arizona,81,1850,1850,0,0,0,0,1800-1859,25,1915,2147,11,2145,2158,13,13,0,0,2100-2159,0,,0,115,128,92,1,646,3
